
datetime,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,temperature,day_type,hour
2023-12-16 17:24:00,4.216,0.418,234.840,18.400,0.000,1.000,17.000,21.2,weekday,17
2023-12-16 17:25:00,5.360,0.436,233.630,23.000,0.000,1.000,16.000,21.0,weekday,17
2023-12-16 17:26:00,5.374,0.498,233.290,23.000,0.000,2.000,17.000,20.8,weekday,17
2023-12-16 17:27:00,5.388,0.502,233.740,23.000,0.000,1.000,17.000,20.9,weekday,17
2023-12-16 17:28:00,3.666,0.528,235.680,15.800,0.000,1.000,17.000,21.1,weekday,17
2023-12-17 09:24:00,3.520,0.522,235.020,15.000,0.000,2.000,16.000,19.5,weekend,9
2023-12-17 09:25:00,3.702,0.520,235.090,16.000,0.000,1.000,17.000,19.3,weekend,9
2023-12-17 09:26:00,3.700,0.520,235.220,16.000,0.000,1.000,17.000,19.4,weekend,9
2023-12-17 10:24:00,4.650,0.194,232.860,20.000,1.000,1.000,18.000,22.1,weekend,10
2023-12-17 10:25:00,4.604,0.194,233.250,19.600,1.000,1.000,18.000,22.3,weekend,10
2023-12-18 14:24:00,2.072,0.056,240.700,8.600,0.000,0.000,0.000,18.7,weekday,14
2023-12-18 14:25:00,2.028,0.032,241.540,8.400,0.000,0.000,0.000,18.9,weekday,14
2023-12-18 18:24:00,6.458,0.600,232.780,28.000,2.000,2.000,18.000,20.5,weekday,18
2023-12-18 18:25:00,6.120,0.584,233.990,26.200,2.000,2.000,17.000,20.7,weekday,18
2023-12-18 20:24:00,7.234,0.672,231.450,31.400,3.000,2.000,19.000,19.8,weekday,20
2023-12-18 20:25:00,7.016,0.658,232.110,30.200,3.000,2.000,18.000,19.6,weekday,20
2023-12-19 07:24:00,2.516,0.298,238.320,10.600,1.000,0.000,0.000,17.2,weekday,7
2023-12-19 07:25:00,2.884,0.300,237.540,12.200,1.000,1.000,0.000,17.4,weekday,7
2023-12-19 12:24:00,1.870,0.030,241.890,7.800,0.000,0.000,0.000,20.1,weekday,12
2023-12-19 12:25:00,1.842,0.026,242.130,7.600,0.000,0.000,0.000,20.3,weekday,12
2023-12-20 16:24:00,3.158,0.414,236.730,13.400,0.000,1.000,16.000,22.8,weekday,16
2023-12-20 16:25:00,3.090,0.408,237.210,13.000,0.000,1.000,16.000,23.0,weekday,16
2023-12-21 11:24:00,2.556,0.204,239.950,10.800,0.000,0.000,0.000,16.5,weekday,11
2023-12-21 11:25:00,2.714,0.220,239.460,11.400,0.000,0.000,0.000,16.7,weekday,11
2023-12-22 19:24:00,5.888,0.556,233.510,25.200,2.000,2.000,17.000,18.9,weekday,19
2023-12-22 19:25:00,5.756,0.548,234.020,24.600,2.000,2.000,17.000,19.1,weekday,19
